epoch,acc,loss,val_acc,val_loss
0,0.41175034642219543,9.086886405944824,1.0,1.8910272459038424e-08
1,0.41175034642219543,3095.3876953125,1.0,6.349482646328397e-07
2,0.41175034642219543,454.404541015625,1.0,5.59168086056161e-07
3,0.41175034642219543,2.0392847943639936e-07,1.0,3.891481128448504e-07
4,0.41175034642219543,1.4028890404915728e-07,1.0,2.9277191515575396e-07
5,0.41175034642219543,1.0470674283169501e-07,1.0,2.0990420068756066e-07
6,0.41175034642219543,1264.6302490234375,1.0,2.097350943586207e-06
7,0.41175034642219543,954.2737426757812,1.0,7.029025255178567e-07
8,0.41175034642219543,642.327880859375,1.0,2.1291457414918113e-06
9,0.41175034642219543,1497.559326171875,1.0,2.6326754323235946e-06
10,0.41175034642219543,839.2437744140625,1.0,2.079852947645122e-06
11,0.41175034642219543,2445.24267578125,1.0,9.84082717536694e-08
